Flow (m^3/s),Precipitation (mm)
36.81184,99.3
65.694976,35.3
53.80192,41.9
51.819744,27.9
67.393984,14.2
47.572224,122.4
31.14848,49.8
71.358336,51.6
68.243488,144.8
49.271232,49.5
108.170176,115.3
49.5544,2.3
68.243488,101.6
66.261312,30.5
46.72272,42.4
37.095008,20.3
45.023711999999996,80.0
26.1364064,50.0
105.33849599999999,48.3
38.22768,66.3
62.013792,88.9
101.374144,52.3
82.96822399999999,139.2
99.675136,214.1
48.421728,7.6
41.05936,16.0
55.21776,69.3
81.552384,43.7
92.879104,45.7
96.560288,120.1
81.552384,51.3
57.766272,5.3
98.825632,149.9
69.659328,3.6
78.437536,149.9
139.318656,79.5
62.29696,110.7
48.988064,25.9
58.898944,146.3
56.916768,52.6
71.075168,72.6
135.35430399999998,186.9
141.584,112.8
404.93023999999997,214.9
80.419712,114.6
86.083072,116.3
104.488992,197.1
